"Description","Results"
"MAIN INFORMATION ABOUT DATA",""
"Timespan","2001:2023"
"Sources (Journals, Books, etc)","108"
"Documents","188"
"Annual Growth Rate %","3.2"
"Document Average Age","3.6"
"Average citations per doc","13.38"
"References","8392"
"DOCUMENT CONTENTS",""
"Keywords Plus (ID)","592"
"Author's Keywords (DE)","501"
"AUTHORS",""
"Authors","1188"
"Authors of single-authored docs","9"
"AUTHORS COLLABORATION",""
"Single-authored docs","10"
"Co-Authors per Doc","8.22"
"International co-authorships %","34.57"
"DOCUMENT TYPES",""
"article","128"
"article; early access","3"
"article; proceedings paper","1"
"correction","1"
"editorial material","4"
"meeting abstract","2"
"proceedings paper","21"
"review","26"
"review; early access","2"